"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","2009","Proceedings of the 2009 3rd International Conference on Research Challenges in Information Science, RCIS 2009","","","","","","484","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349586350&partnerID=40&md5=8ad2057c4ddd4577fc9796851e5585f5","Conference review","Final","","Scopus","2-s2.0-70349586350"
"Hock-Koon A.; Oussalah M.","Hock-Koon, Anthony (36069211500); Oussalah, Mourad (58196422800)","36069211500; 58196422800","Expliciting a Composite Service by a MetaModeling approach","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507311","533","544","11","9","10.1109/rcis.2010.5507311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957313432&doi=10.1109%2frcis.2010.5507311&partnerID=40&md5=2063ff2bc72b28e87f196548d1a3560a","Conference paper","Final","","Scopus","2-s2.0-77957313432"
"Ma Y.; Yu S.; Liu L.; Li D.","Ma, Yuekun (56202624100); Yu, Shuli (56171211000); Liu, Lina (55715770100); Li, Dongyan (36185912200)","56202624100; 56171211000; 55715770100; 36185912200","Design and implementation of schedule module in a distributed data mining tool","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493298","347","350","3","0","10.1109/CESCE.2010.112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954919580&doi=10.1109%2fCESCE.2010.112&partnerID=40&md5=ee11d143bfd73957fb287d0407bf2b46","Conference paper","Final","","Scopus","2-s2.0-77954919580"
"Ye C.-H.; Zhao G.-L.; Xing L.-T.; Liu L.; Chen S.-L.","Ye, Chun-He (34877928400); Zhao, Gui-Lan (36186469600); Xing, Li-Ting (34878169400); Liu, Li (55715669100); Chen, Shi-Lei (36185172300)","34877928400; 36186469600; 34878169400; 55715669100; 36185172300","Poor-quality groundwater exploitation and utilization","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","1","","5493166","424","426","2","0","10.1109/CESCE.2010.49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954889687&doi=10.1109%2fCESCE.2010.49&partnerID=40&md5=4a3435d3b391a3a27e9ae640552d3753","Conference paper","Final","","Scopus","2-s2.0-77954889687"
"Yoshino M.; Oba M.; Nakamichi S.; Komoda N.; Yamade T.","Yoshino, Matsuki (16040927300); Oba, Michiko (36903920100); Nakamichi, Shigeru (36125578700); Komoda, Norihisa (7005225380); Yamade, Taiko (36125676000)","16040927300; 36903920100; 36125578700; 7005225380; 36125676000","Message analysis method based on a stream database for information system management","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507317","515","522","7","2","10.1109/rcis.2010.5507317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957304448&doi=10.1109%2frcis.2010.5507317&partnerID=40&md5=9e63f02deb049fd6e935c42590e55497","Conference paper","Final","","Scopus","2-s2.0-77957304448"
"Fournier S.; Ferrarini A.; Tranvouez E.","Fournier, Sébastien (8646022500); Ferrarini, Alain (23974267300); Tranvouez, Erwan (6506959639)","8646022500; 23974267300; 6506959639","A multiagent decision support system for scheduling repair - Application to socio-technical organizations","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507396","365","374","9","2","10.1109/rcis.2010.5507396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957321333&doi=10.1109%2frcis.2010.5507396&partnerID=40&md5=5e36a9684d7ef3e91a0fcc520d93ea27","Conference paper","Final","","Scopus","2-s2.0-77957321333"
"Gonzalez-Perez C.; Henderson-Sellers B.","Gonzalez-Perez, Cesar (8415398500); Henderson-Sellers, Brian (7005736664)","8415398500; 7005736664","Specifying business methods with the work product pool approach","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507398","383","390","7","1","10.1109/rcis.2010.5507398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957301722&doi=10.1109%2frcis.2010.5507398&partnerID=40&md5=6eddaee27292d60e20c79a8fb41fe7e5","Conference paper","Final","","Scopus","2-s2.0-77957301722"
"Zhao S.; Chen Z.; Zhai X.; Li A.; Shen J.","Zhao, Shuqing (56329953300); Chen, Zhonglin (55811725600); Zhai, Xu (57213722342); Li, An (35778483900); Shen, Jimin (55503540700)","56329953300; 55811725600; 57213722342; 35778483900; 55503540700","Comparison of chlorogenerated disinfection byproduct formation from sequential use ozone and monochloramine with alternative disinfection","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","1","","5493081","273","276","3","2","10.1109/CESCE.2010.231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954910243&doi=10.1109%2fCESCE.2010.231&partnerID=40&md5=2d0fb7188007281bf2206e02fe7b0221","Conference paper","Final","","Scopus","2-s2.0-77954910243"
"Houda M.; Khemaja M.; Oliveira K.; Abed M.","Houda, Mnasser (55549004500); Khemaja, Maha (24824506700); Oliveira, Kathia (55842311000); Abed, Mourad (7004244673)","55549004500; 24824506700; 55842311000; 7004244673","A public transportation ontology to support user travel planning","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507372","127","136","9","53","10.1109/rcis.2010.5507372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957318206&doi=10.1109%2frcis.2010.5507372&partnerID=40&md5=30d1289d6ab40cef413f8ad20765e440","Conference paper","Final","","Scopus","2-s2.0-77957318206"
"Railean I.; Stolojescu C.; Moga S.; Lenca P.","Railean, Ion (36242286500); Stolojescu, Cristina (55583478900); Moga, Sorin (6603093645); Lenca, Philippe (6508171995)","36242286500; 55583478900; 6603093645; 6508171995","WIMAX traffic forecasting based on neural networks in wavelet domain","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507338","443","452","9","12","10.1109/rcis.2010.5507338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957324321&doi=10.1109%2frcis.2010.5507338&partnerID=40&md5=38a832a88dd69a7d2da5cb2c6021c2c0","Conference paper","Final","","Scopus","2-s2.0-77957324321"
"Ben Ahmed E.; Gouider M.S.","Ben Ahmed, Eya (36520758200); Gouider, Med Salah (56035703100)","36520758200; 56035703100","Towards a new mechanism of extracting cyclic association rules based on partition aspect","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507365","69","78","9","6","10.1109/rcis.2010.5507365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957298876&doi=10.1109%2frcis.2010.5507365&partnerID=40&md5=8775d8948abe37f2a7dc3aba62cd9510","Conference paper","Final","","Scopus","2-s2.0-77957298876"
"Yuan X.","Yuan, Xuying (35195109900)","35195109900","Application of multi-objective optimization models of Watershed management in Sheshuihe Watershed, China","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","1","","5493198","549","552","3","0","10.1109/CESCE.2010.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954894477&doi=10.1109%2fCESCE.2010.11&partnerID=40&md5=a1da66b222bbb9c9d7c106caa7ff566a","Conference paper","Final","","Scopus","2-s2.0-77954894477"
"Zhao J.; Dai W.; Wang K.","Zhao, Jie (57191638233); Dai, Wenjin (14039799100); Wang, Kai (56942227200)","57191638233; 14039799100; 56942227200","Shunt active power filter and its application","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493305","373","376","3","5","10.1109/CESCE.2010.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954895843&doi=10.1109%2fCESCE.2010.208&partnerID=40&md5=f23756a243c6af5a8553b9ce1c5e6e59","Conference paper","Final","","Scopus","2-s2.0-77954895843"
"Zhang T.; Lin H.; Liang L.; Lu J.; Zhang G.","Zhang, Tiefeng (56137667100); Lin, Hua (55614614800); Liang, Lisong (36521213300); Lu, Jie (7601559842); Zhang, Guangquan (7405270696)","56137667100; 55614614800; 36521213300; 7601559842; 7405270696","A knowledge-based efficiency assessment system for distribution network using data envelopment analysis","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507392","331","336","5","1","10.1109/rcis.2010.5507392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957298500&doi=10.1109%2frcis.2010.5507392&partnerID=40&md5=864fba8145e3a5f6d3405bbbd3db6741","Conference paper","Final","","Scopus","2-s2.0-77957298500"
"Daissaoui A.","Daissaoui, Abdellah (36520648700)","36520648700","Applying the MDA approach for the automatic generation of an MVC2 web application","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507266","681","688","7","10","10.1109/rcis.2010.5507266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957297775&doi=10.1109%2frcis.2010.5507266&partnerID=40&md5=c0893880b5930ea7aced8b20f6671ab4","Conference paper","Final","","Scopus","2-s2.0-77957297775"
"Islam F.; Lucky M.N.; Pemici B.","Islam, Farhana (36521185100); Lucky, Meherun Nesa (36521332600); Pemici, Barbara (6504424633)","36521185100; 36521332600; 6504424633","Business analysis of web service repairability","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507332","463","472","9","2","10.1109/rcis.2010.5507332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957310398&doi=10.1109%2frcis.2010.5507332&partnerID=40&md5=43fff78533f13c5d3fc2c22b716e13cc","Conference paper","Final","","Scopus","2-s2.0-77957310398"
"Li J.; Chai S.","Li, Jiasheng (25724415000); Chai, Shijie (35110313900)","25724415000; 35110313900","Design of power quality disturbances monitoring device based on linear prediction mechanism","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493301","358","360","2","1","10.1109/CESCE.2010.215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954902334&doi=10.1109%2fCESCE.2010.215&partnerID=40&md5=4a16f3d4236bcc74158b3415dad7a0e8","Conference paper","Final","","Scopus","2-s2.0-77954902334"
