"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Groner R.; Tichy M.; Becker S.","Groner, Raffaela (57192083854); Tichy, Matthias (7202357873); Becker, Steffen (55424725500)","57192083854; 7202357873; 55424725500","Towards performance engineering of model transformation","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","33","36","3","5","10.1145/3185768.3186305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052015228&doi=10.1145%2f3185768.3186305&partnerID=40&md5=4ccb35f3c998a49f98b83e39a7192c72","Conference paper","Final","","Scopus","2-s2.0-85052015228"
"Walter J.; Stier C.; Koziolek H.; Kounev S.","Walter, Jürgen (56939872200); Stier, Christian (56736063100); Koziolek, Heiko (55884029900); Kounev, Samuel (23397538000)","56939872200; 56736063100; 55884029900; 23397538000","An expandable extraction framework for architectural performance models","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","165","170","5","19","10.1145/3053600.3053634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019501371&doi=10.1145%2f3053600.3053634&partnerID=40&md5=0184ea21486209a6e8384d95ea97bc4b","Conference paper","Final","","Scopus","2-s2.0-85019501371"
"Muttillo V.; Stoico V.; Valente G.; D’Antonio F.; Pomante L.; Salice F.","Muttillo, Vittoriano (56805275400); Stoico, Vincenzo (57202118076); Valente, Giacomo (57188678594); D’Antonio, Fausto (57203098278); Pomante, Luigi (55905317800); Salice, Fabio (7003432313)","56805275400; 57202118076; 57188678594; 57203098278; 55905317800; 7003432313","CC4CS: An off-the-shelf unifying statement-level performance metric for HW/SW technologies","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","119","122","3","11","10.1145/3185768.3186291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050452735&doi=10.1145%2f3185768.3186291&partnerID=40&md5=60cf5b9fee86debe2bac5cf1fe703279","Conference paper","Final","","Scopus","2-s2.0-85050452735"
"Gil M.; Joubert C.; Torres I.","Gil, Marc (57194242510); Joubert, Christophe (59806925400); Torres, Ismael (57194243077)","57194242510; 59806925400; 57194243077","Model-driven engineering IDE for quality assessment of data-intensive applications","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","173","174","1","2","10.1145/3053600.3053633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019431500&doi=10.1145%2f3053600.3053633&partnerID=40&md5=5cb7611e678a6eabca9125b70ce14de2","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85019431500"
"Oliveira V.H.F.; Georgiou K.; Furtunato A.F.A.; Eder K.; Silveira L.F.; Xavier-De-Souza S.","Oliveira, Victor H. F. (57201733170); Georgiou, Kyriakos (57150810600); Furtunato, Alex F. A. (57215310489); Eder, Kerstin (23391989300); Silveira, Luiz F. (56363591700); Xavier-De-Souza, Samuel (59170006300)","57201733170; 57150810600; 57215310489; 23391989300; 56363591700; 59170006300","Application speedup characterization: Modeling parallelization overhead and variations of problem size and number of cores","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","43","44","1","3","10.1145/3185768.3185770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051140905&doi=10.1145%2f3185768.3185770&partnerID=40&md5=0a63fb27522e82f579c1acb132d8d09f","Conference paper","Final","","Scopus","2-s2.0-85051140905"
"Eljammaly M.; Karlsson L.; Kågström B.","Eljammaly, Mahmoud (55868963600); Karlsson, Lars (57198094876); Kågström, Bo (6701483464)","55868963600; 57198094876; 6701483464","An auto-tuning framework for a NUMA-aware hessenberg reduction algorithm","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","5","8","3","0","10.1145/3185768.3186304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052016714&doi=10.1145%2f3185768.3186304&partnerID=40&md5=410984c4f75da63745cd0a97a2b3b247","Conference paper","Final","","Scopus","2-s2.0-85052016714"
"Bulej L.; Horký V.; Tůuma P.","Bulej, Lubomír (8243498700); Horký, Vojtěech (57194446578); Tůuma, Petr (57194237275)","8243498700; 57194446578; 57194237275","Do we teach useful statistics for performance evaluation?","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","185","189","4","6","10.1145/3053600.3053638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019403441&doi=10.1145%2f3053600.3053638&partnerID=40&md5=bdc95bb7972521d3b8c39fe3032a38b9","Conference paper","Final","","Scopus","2-s2.0-85019403441"
"Klinaku F.; Frank M.; Becker S.","Klinaku, Floriment (57203517804); Frank, Markus (57189630707); Becker, Steffen (55424725500)","57203517804; 57189630707; 55424725500","CAUS: An elasticity controller for a containerized microservice","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","93","98","5","20","10.1145/3185768.3186296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052015064&doi=10.1145%2f3185768.3186296&partnerID=40&md5=de934ddc5c7ea573516178aa3b2ff590","Conference paper","Final","","Scopus","2-s2.0-85052015064"
"Heinrich R.; Van Hoorn A.; Knoche H.; Li F.; Lwakatare L.E.; Pahl C.; Schulte S.; Wettinger J.","Heinrich, Robert (56352523400); Van Hoorn, André (26421837600); Knoche, Holger (55994547700); Li, Fei (57198719362); Lwakatare, Lucy Ellen (56728797500); Pahl, Claus (55049859200); Schulte, Stefan (24767006100); Wettinger, Johannes (55860881600)","56352523400; 26421837600; 55994547700; 57198719362; 56728797500; 55049859200; 24767006100; 55860881600","Performance engineering for microservices: Research challenges & directions","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","223","226","3","94","10.1145/3053600.3053653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019457941&doi=10.1145%2f3053600.3053653&partnerID=40&md5=6cb0eb2434a77000e1386723f784863d","Conference paper","Final","","Scopus","2-s2.0-85019457941"
"Cabrera A.M.; Faber C.J.; Cepeda K.; Derber R.; Epstein C.; Zheng J.; Cytron R.K.; Chamberlain R.D.","Cabrera, Anthony M. (57203514334); Faber, Clayton J. (57203514635); Cepeda, Kyle (57203517611); Derber, Robert (57203516207); Epstein, Cooper (56533316800); Zheng, Jason (57203516750); Cytron, Ron K. (7003958039); Chamberlain, Roger D. (7103031445)","57203514334; 57203514635; 57203517611; 57203516207; 56533316800; 57203516750; 7003958039; 7103031445","DIBS: A data integration benchmark suite","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","25","28","3","13","10.1145/3185768.3186307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052025763&doi=10.1145%2f3185768.3186307&partnerID=40&md5=9b40b0f57913bdc4e83e4af836406240","Conference paper","Final","","Scopus","2-s2.0-85052025763"
