"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fukuda Y.; Yoshimizu A.","Fukuda, Yosuke (57195639546); Yoshimizu, Akira (56159373400)","57195639546; 56159373400","A linear-logical reconstruction of intuitionistic modal logic S4","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","20","","","","0","10.4230/LIPIcs.FSCD.2019.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068050611&doi=10.4230%2fLIPIcs.FSCD.2019.20&partnerID=40&md5=b7e44b9643222041336b3dc6b59f7597","Conference paper","Final","","Scopus","2-s2.0-85068050611"
"Díaz-Caro A.; Dowek G.","Díaz-Caro, Alejandro (36933923200); Dowek, Gilles (6602138388)","36933923200; 6602138388","Proof normalisation in a logic identifying isomorphic propositions","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","14","","","","6","10.4230/LIPIcs.FSCD.2019.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068085804&doi=10.4230%2fLIPIcs.FSCD.2019.14&partnerID=40&md5=7b00b117e89b7781aff212ee66436236","Conference paper","Final","","Scopus","2-s2.0-85068085804"
"Lago U.D.; Gavazzo F.","Lago, Ugo Dal (57201616133); Gavazzo, Francesco (57196118065)","57201616133; 57196118065","Resource transition systems and full abstraction for linear higher-order effectful programs","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","23","","","","4","10.4230/LIPIcs.FSCD.2021.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115210017&doi=10.4230%2fLIPIcs.FSCD.2021.23&partnerID=40&md5=462ae7df38c5a42b5c060b201b7d6464","Conference paper","Final","","Scopus","2-s2.0-85115210017"
"Cohen C.; Sakaguchi K.; Tassi E.","Cohen, Cyril (36184037800); Sakaguchi, Kazuhiko (57202018942); Tassi, Enrico (23391338000)","36184037800; 57202018942; 23391338000","Hierarchy builder: Algebraic hierarchies made easy in Coq with Elpi","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","34","","","","16","10.4230/LIPIcs.FSCD.2020.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089383815&doi=10.4230%2fLIPIcs.FSCD.2020.34&partnerID=40&md5=631db3573390600ca823b09dd0ae24e6","Conference paper","Final","","Scopus","2-s2.0-85089383815"
"Pistone P.; Tranchini L.","Pistone, Paolo (35082547000); Tranchini, Luca (55203588900)","35082547000; 55203588900","What's decidable about (atomic) polymorphism?","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","27","","","","1","10.4230/LIPIcs.FSCD.2021.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115270589&doi=10.4230%2fLIPIcs.FSCD.2021.27&partnerID=40&md5=8feaaf74daf81dc5c8b658f7aba81cc2","Conference paper","Final","","Scopus","2-s2.0-85115270589"
"Mimram S.; Oleon É.","Mimram, Samuel (23398129300); Oleon, Émile (57790031200)","23398129300; 57790031200","Division by Two, in Homotopy Type Theory","2022","Leibniz International Proceedings in Informatics, LIPIcs","228","","11","","","","0","10.4230/LIPIcs.FSCD.2022.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133713390&doi=10.4230%2fLIPIcs.FSCD.2022.11&partnerID=40&md5=4f9f9d38e83bcd03ab50288e63b3a5d4","Conference paper","Final","","Scopus","2-s2.0-85133713390"
"Van Oostrom V.","Van Oostrom, Vincent (6603090655)","6603090655","Syntax-free developments","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","24","","","","2","10.4230/LIPIcs.FSCD.2021.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115203217&doi=10.4230%2fLIPIcs.FSCD.2021.24&partnerID=40&md5=72f43dcef8e0f60875ae49ba3efd1e0e","Conference paper","Final","","Scopus","2-s2.0-85115203217"
"Faggian C.; Guerrieri G.","Faggian, Claudia (6603276172); Guerrieri, Giulio (56159835500)","6603276172; 56159835500","Strategies for Asymptotic Normalization","2022","Leibniz International Proceedings in Informatics, LIPIcs","228","","17","","","","1","10.4230/LIPIcs.FSCD.2022.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133708914&doi=10.4230%2fLIPIcs.FSCD.2022.17&partnerID=40&md5=e6dabbe726d487c67e413791cfb24480","Conference paper","Final","","Scopus","2-s2.0-85133708914"
"Kudasov N.","Kudasov, Nikolai (57218597360)","57218597360","E-Unification for Second-Order Abstract Syntax","2023","Leibniz International Proceedings in Informatics, LIPIcs","260","","10","","","","2","10.4230/LIPIcs.FSCD.2023.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165988111&doi=10.4230%2fLIPIcs.FSCD.2023.10&partnerID=40&md5=ae9b4b3a8319f82fae70a8ff82f31bb0","Conference paper","Final","","Scopus","2-s2.0-85165988111"
"Schmidt-Schauß M.; Nantes-Sobrinho D.","Schmidt-Schauß, Manfred (6603913050); Nantes-Sobrinho, Daniele (57190129106)","6603913050; 57190129106","Nominal Anti-Unification with Atom-Variables","2022","Leibniz International Proceedings in Informatics, LIPIcs","228","","7","","","","3","10.4230/LIPIcs.FSCD.2022.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133678584&doi=10.4230%2fLIPIcs.FSCD.2022.7&partnerID=40&md5=f95efbf556f352f73d490596cfe53eeb","Conference paper","Final","","Scopus","2-s2.0-85133678584"
