"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Eeckhout L.; De Bosschere K.","Eeckhout, Lieven (6602199755); De Bosschere, Koen (7005561063)","6602199755; 7005561063","Early design phase power/performance modeling through statistical simulation","2001","2001 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2001","","","990669","10","17","7","16","10.1109/ISPASS.2001.990669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962135618&doi=10.1109%2fISPASS.2001.990669&partnerID=40&md5=ac99fe89e9186975943b9c968746e3a2","Conference paper","Final","","Scopus","2-s2.0-84962135618"
"Coleman C.L.; Davidson J.W.","Coleman, Clark L. (25921896100); Davidson, Jack W. (7403933630)","25921896100; 7403933630","Automatic memory hierarchy characterization","2001","2001 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2001","","","990684","103","110","7","10","10.1109/ISPASS.2001.990684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962159556&doi=10.1109%2fISPASS.2001.990684&partnerID=40&md5=4e49de636abe61ea3cde3607214f6fb8","Conference paper","Final","","Scopus","2-s2.0-84962159556"
"Lau J.; Schoenmackers S.; Calder B.","Lau, Jeremy (8348780400); Schoenmackers, Stefan (51665962100); Calder, Brad (7005470011)","8348780400; 51665962100; 7005470011","Structures for phase classification","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","57","67","10","81","10.1109/ISPASS.2004.1291356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642530435&doi=10.1109%2fISPASS.2004.1291356&partnerID=40&md5=30766fe449f843b6b45a75aec6350222","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-2642530435"
"Lo C.-T.D.; Srisa-An W.; Chang J.M.","Lo, Chia-Tien Dan (49663466400); Srisa-An, W. (6603394806); Chang, J.M. (35087265700)","49663466400; 6603394806; 35087265700","A quantitative simulator for dynamic memory managers","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842283","64","69","5","1","10.1109/ISPASS.2000.842283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962197476&doi=10.1109%2fISPASS.2000.842283&partnerID=40&md5=209233e45870b8f383eabd1e5bb8f287","Conference paper","Final","","Scopus","2-s2.0-84962197476"
"Weber S.; Hariharan R.","Weber, S. (10044308700); Hariharan, R. (55244593900)","10044308700; 55244593900","A new synthetic web server trace generation methodology","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190235","80","90","10","3","10.1109/ISPASS.2003.1190235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943387930&doi=10.1109%2fISPASS.2003.1190235&partnerID=40&md5=fae2020e58aba5e3a277298e42a6114a","Conference paper","Final","","Scopus","2-s2.0-84943387930"
"Iyer R.","Iyer, R. (17434769300)","17434769300","Performance implications of chipset caches in web servers","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190244","176","185","9","9","10.1109/ISPASS.2003.1190244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951821701&doi=10.1109%2fISPASS.2003.1190244&partnerID=40&md5=a5073736483c2f837cf2f3906aad9df5","Conference paper","Final","","Scopus","2-s2.0-79951821701"
"Ramos L.; Ibáñez P.; Viñals V.; Llabería J.M.","Ramos, L. (16307638900); Ibáñez, P. (7005301998); Viñals, V. (6506396037); Llabería, J.M. (6701667851)","16307638900; 7005301998; 6506396037; 6701667851","Modeling load address behaviour through recurrences","2000","2000 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2000","","","842288","101","108","7","3","10.1109/ISPASS.2000.842288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962194766&doi=10.1109%2fISPASS.2000.842288&partnerID=40&md5=7ae19b2c513cd0bcab222e357a45a443","Conference paper","Final","","Scopus","2-s2.0-84962194766"
"Paul A.; Harel N.; Adhikari S.; Agarwalla B.; Ramachandran U.; Mackenzie K.","Paul, A. (56650522400); Harel, N. (6603785418); Adhikari, S. (7102014417); Agarwalla, B. (6506622345); Ramachandran, U. (7004594541); Mackenzie, K. (7202720695)","56650522400; 6603785418; 7102014417; 6506622345; 7004594541; 7202720695","Performance study of a cluster runtime system for dynamic interactive stream-oriented applications","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190240","133","142","9","0","10.1109/ISPASS.2003.1190240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943411084&doi=10.1109%2fISPASS.2003.1190240&partnerID=40&md5=35e52116f8e978c4f4630fc640bbebc1","Conference paper","Final","","Scopus","2-s2.0-84943411084"
"Hassanein W.; Astfalk G.; Eigenmann R.","Hassanein, W. (6508240625); Astfalk, G. (6602957154); Eigenmann, R. (8833704900)","6508240625; 6602957154; 8833704900","1D performance analysis and tracing of technical and Java applications on the Itanium2 processor","2003","2003 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2003","","","1190236","91","100","9","0","10.1109/ISPASS.2003.1190236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943415722&doi=10.1109%2fISPASS.2003.1190236&partnerID=40&md5=d68a05db409e8fcc7e35f168952d7c75","Conference paper","Final","","Scopus","2-s2.0-84943415722"
"Chase C.; Ullah N.","Chase, Craig (7102500223); Ullah, Nasr (36480386900)","7102500223; 36480386900","General chairs' message","2004","2004 IEEE International Symposium on Performance Analysis of Systems and Software","","","","3","","","0","10.1109/ISPASS.2004.1291342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642581815&doi=10.1109%2fISPASS.2004.1291342&partnerID=40&md5=15986769f307d0339dfbde6d661ff9d9","Conference paper","Final","","Scopus","2-s2.0-2642581815"
