"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Takamura H.","Takamura, Hiroki (36992538900)","36992538900","The variety of modal FL ew-algebras is generated by its finite simple members","2006","Advances in Modal Logic 2006","6","","","469","479","10","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40649101791&partnerID=40&md5=ecdee0dde127aa51913f27a65f5c203f","Conference paper","Final","","Scopus","2-s2.0-40649101791"
"Wansing H.","Wansing, Heinrich (6602488540)","6602488540","Proofs, disproofs, and their duals","2010","Advances in Modal Logic 2006","8","","","483","505","22","34","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455209825&partnerID=40&md5=d87dbf8279f3e2fb090104b4b9834a0f","Conference paper","Final","","Scopus","2-s2.0-82455209825"
"Fontaine G.","Fontaine, Gaëlle (36022525700)","36022525700","ML is not finitely axiomatizable over Cheq","2006","Advances in Modal Logic 2006","6","","","139","146","7","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858663313&partnerID=40&md5=26e41256da98fd9bb367484a5dfbc1b8","Conference paper","Final","","Scopus","2-s2.0-84858663313"
"Suzuki T.","Suzuki, Tomoyuki (55731644000)","55731644000","Morphisms on Bi-approximation semantics","2014","Advances in Modal Logic","9","","","494","515","21","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906761261&partnerID=40&md5=50010155e943fde3615e1bfe36e8597c","Conference paper","Final","","Scopus","2-s2.0-84906761261"
"","","","Advances in Modal Logic 2006","2006","Advances in Modal Logic 2006","6","","","","","520","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858671505&partnerID=40&md5=7f50c074e4ed33bbb1a3d12f15df2ef8","Conference review","Final","","Scopus","2-s2.0-84858671505"
"Balbiani P.; Shapirovsky I.; Shehtman V.","Balbiani, P. (14625029700); Shapirovsky, I. (8716184900); Shehtman, V. (16470280300)","14625029700; 8716184900; 16470280300","Every world can see a Sahlqvist world","2006","Advances in Modal Logic 2006","6","","","69","85","16","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049354664&partnerID=40&md5=66413e1dccadbc8e8d637fa17c266256","Conference paper","Final","","Scopus","2-s2.0-78049354664"
"Rybakov M.","Rybakov, Mikhail (55114172200)","55114172200","Complexity of intuitionistic and Visser's basic and formal logics in finitely many variables","2006","Advances in Modal Logic 2006","6","","","393","411","18","21","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049290234&partnerID=40&md5=9b35b1b828f9bde6bd1810b607f2eb5b","Conference paper","Final","","Scopus","2-s2.0-78049290234"
"Kupke C.; Kurz A.; Venema Y.","Kupke, Clemens (6602390943); Kurz, Alexander (35817688100); Venema, Yde (6603586695)","6602390943; 35817688100; 6603586695","Completeness of the finitary Moss logic","2008","Advances in Modal Logic 2006","7","","","193","217","24","20","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549089764&partnerID=40&md5=1407af17bbd37ee911ee99e53f064f4f","Conference paper","Final","","Scopus","2-s2.0-68549089764"
"Kurucz A.","Kurucz, Agi (8732161000)","8732161000","On the complexity of modal axiomatisations over many-dimensional structures","2010","Advances in Modal Logic 2006","8","","","256","270","14","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858679507&partnerID=40&md5=f462bf6245296c9ae0d9838f3094d85b","Conference paper","Final","","Scopus","2-s2.0-84858679507"
"Suzuki T.","Suzuki, Tomoyuki (55731644000)","55731644000","Bi-approximation semantics for substructural logic at work","2010","Advances in Modal Logic 2006","8","","","411","433","22","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863354800&partnerID=40&md5=eb02fad7072a1e9f33f575cfe9a7f37c","Conference paper","Final","","Scopus","2-s2.0-84863354800"
"Shehtman V.","Shehtman, Valentin (16470280300)","16470280300","Completeness and incompleteness in first-order modal logic: An overview","2006","Advances in Modal Logic 2006","6","","","27","30","3","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549157683&partnerID=40&md5=af4f297335679611c93db5caa6becbff","Conference paper","Final","","Scopus","2-s2.0-64549157683"
"","","","Advances in Modal Logic 2010","2010","Advances in Modal Logic 2006","8","","","","","505","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858626143&partnerID=40&md5=09ac74ba67ebd49ee2bfecd77c7e7f79","Conference review","Final","","Scopus","2-s2.0-84858626143"
"Sano K.; Ma M.","Sano, Katsuhiko (26536684100); Ma, Minghui (36084867200)","26536684100; 36084867200","Goldblatt-Thomason-style Theorems for graded modal language","2010","Advances in Modal Logic 2006","8","","","330","349","19","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858648271&partnerID=40&md5=57288e8db152d0fd87130978ecd21fe7","Conference paper","Final","","Scopus","2-s2.0-84858648271"
"Tanabe Y.; Takahashi K.; Hagiya M.","Tanabe, Yoshinori (23010649800); Takahashi, Koichi (55741264800); Hagiya, Masami (7006475909)","23010649800; 55741264800; 7006475909","A decision procedure for alternation-free modal μ-calculi","2008","Advances in Modal Logic 2006","7","","","341","362","21","14","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863338294&partnerID=40&md5=10b0ecc1ab721e053317fa55afd5a98b","Conference paper","Final","","Scopus","2-s2.0-84863338294"
"Nenov Y.; Vakarelov D.","Nenov, Yavor (36473927400); Vakarelov, Dimiter (6603656027)","36473927400; 6603656027","Modal logics for mereotopological relations","2008","Advances in Modal Logic 2006","7","","","249","272","23","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053129563&partnerID=40&md5=1ba021f7311f8f25f0ccb78fdfad70e4","Conference paper","Final","","Scopus","2-s2.0-80053129563"
"Balbiani P.","Balbiani, Philippe (14625029700)","14625029700","An expressive two-sorted spatial logic for plane projective geometry","2006","Advances in Modal Logic 2006","6","","","49","68","19","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350202649&partnerID=40&md5=1dfce4066f8b60493edf3ead1a291f45","Conference paper","Final","","Scopus","2-s2.0-70350202649"
"Bílková M.; Palmigiano A.; Venema Y.","Bílková, Marta (56109602900); Palmigiano, Alessandra (6505874546); Venema, Yde (6603586695)","56109602900; 6505874546; 6603586695","Proof systems for the coalgebraic cover modality","2008","Advances in Modal Logic 2006","7","","","1","21","20","24","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956784718&partnerID=40&md5=806f9596a156aa08a4b5283dbb2af2c1","Conference paper","Final","","Scopus","2-s2.0-77956784718"
"Baader F.; Borgwardt S.; Morawska B.","Baader, Franz (26643645200); Borgwardt, Stefan (47361145500); Morawska, Barbara (6603255917)","26643645200; 47361145500; 6603255917","Computing minimal EL-unifiers is hard","2014","Advances in Modal Logic","9","","","18","35","17","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906733511&partnerID=40&md5=64617fd462176e863e3206a40d3a59e1","Conference paper","Final","","Scopus","2-s2.0-84906733511"
"Hansen J.; Bolander T.; Braüner T.","Hansen, Jens (36611483400); Bolander, Thomas (8362407300); Braüner, Torben (6602679059)","36611483400; 8362407300; 6602679059","Many-valued hybrid logic","2008","Advances in Modal Logic 2006","7","","","111","132","21","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049381417&partnerID=40&md5=1bcf49347734ab140b64a8625076307e","Conference paper","Final","","Scopus","2-s2.0-78049381417"
