"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Pedone F.; Madria S.","Pedone, Fernando (7003992278); Madria, Sanjay (55665770900)","7003992278; 55665770900","Message from the technical program committee co-chairs","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076750","9","","","0","10.1109/SRDS.2011.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155189040&doi=10.1109%2fSRDS.2011.6&partnerID=40&md5=6c393c10caa2cd2b0f964964f11385a1","Editorial","Final","","Scopus","2-s2.0-83155189040"
"Brito A.; Fetzer C.; Felber P.","Brito, Andrey (25923297400); Fetzer, Christof (7006284519); Felber, Pascal (6701409064)","25923297400; 7006284519; 6701409064","Multithreading-enabled active replication for event stream processing operators","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283513","22","31","9","17","10.1109/SRDS.2009.37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949095499&doi=10.1109%2fSRDS.2009.37&partnerID=40&md5=704e7ddacd3abd3b18d0af803f344b8b","Conference paper","Final","","Scopus","2-s2.0-74949095499"
"Laranjeiro N.; Oliveira R.; Vieira M.","Laranjeiro, Nuno (22980190100); Oliveira, Rui (25630736600); Vieira, Marco (7202140748)","22980190100; 25630736600; 7202140748","Applying text classification algorithms in web services robustness testing","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623398","255","264","9","13","10.1109/SRDS.2010.36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650525346&doi=10.1109%2fSRDS.2010.36&partnerID=40&md5=6ae6b29af535af485915d97fdfdf8da3","Conference paper","Final","","Scopus","2-s2.0-78650525346"
"Marques L.; Casimiro A.","Marques, Luís (57197629141); Casimiro, António (6701655025)","57197629141; 6701655025","Data validity and dependable perception in networked sensor-based systems","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623414","358","362","4","2","10.1109/SRDS.2010.52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650525344&doi=10.1109%2fSRDS.2010.52&partnerID=40&md5=635db34f3a842ce501b9b56acf49b0e7","Conference paper","Final","","Scopus","2-s2.0-78650525344"
"Upadhyaya S.","Upadhyaya, Shambhu (7005821496)","7005821496","Proceedings of the IEEE Symposium on Reliable Distributed Systems: Message from the General Chair","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283117","8","","","0","10.1109/SRDS.2009.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949129112&doi=10.1109%2fSRDS.2009.4&partnerID=40&md5=add55953582f1b75a577422bfc76ae95","Editorial","Final","","Scopus","2-s2.0-74949129112"
"Borran F.; Hutle M.; Santos N.; Schiper A.","Borran, Fatemeh (35777487800); Hutle, Martin (9333160200); Santos, Nuno (57214563795); Schiper, André (23478485400)","35777487800; 9333160200; 57214563795; 23478485400","Swift algorithms for repeated consensus","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623403","282","292","10","0","10.1109/SRDS.2010.18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650573818&doi=10.1109%2fSRDS.2010.18&partnerID=40&md5=0e3bc60926ff45bf57773579b6fd094b","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-78650573818"
"Friginal J.; De Andrés D.; Ruiz J.-C.; Gil P.","Friginal, Jesús (35728147500); De Andrés, David (8888202800); Ruiz, Juan-Carlos (35729380700); Gil, Pedro (7004814572)","35728147500; 8888202800; 35729380700; 7004814572","Attack injection to support the evaluation of ad hoc networks","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623433","21","29","8","6","10.1109/SRDS.2010.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650573817&doi=10.1109%2fSRDS.2010.11&partnerID=40&md5=93e034d49c85d00f2be27a1acf0daa97","Conference paper","Final","","Scopus","2-s2.0-78650573817"
"Kc K.; Gu X.","Kc, Kamal (37013318400); Gu, Xiaohui (7403203735)","37013318400; 7403203735","ELT: Efficient log-based troubleshooting system for cloud computing infrastructures","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076757","11","20","9","38","10.1109/SRDS.2011.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155161027&doi=10.1109%2fSRDS.2011.11&partnerID=40&md5=db36c1b2d699bd22a3dd36cbbc77e836","Conference paper","Final","","Scopus","2-s2.0-83155161027"
"Barbosa R.","Barbosa, Raul (8920858800)","8920858800","Monitoring local progress with watchdog timers deduced from global properties","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623387","131","140","9","1","10.1109/SRDS.2010.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650570784&doi=10.1109%2fSRDS.2010.23&partnerID=40&md5=1eb9ebd735f5471326958ea91d48b7be","Conference paper","Final","","Scopus","2-s2.0-78650570784"
"Hirsch D.; Madria S.","Hirsch, Dan (56257154500); Madria, Sanjay (55665770900)","56257154500; 55665770900","A resource-efficient adaptive caching scheme for mobile ad-hoc networks","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623436","64","71","7","17","10.1109/SRDS.2010.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650558714&doi=10.1109%2fSRDS.2010.16&partnerID=40&md5=0d4d644633fd8985c1a19e38a3b55cdd","Conference paper","Final","","Scopus","2-s2.0-78650558714"
